Name,Lat,Lon
A Kinder Cup LFL,-123.4274976,48.4473319
A Novel Idea LFL,-123.3840433,48.4518412
Admirals Road LFL,-123.4168804,48.4276415
Agate Little Free Library,-123.3676779,48.5240304
Agnes St. Free Library,-123.3905689,48.4721861
Albert Ave. Book Nook,-123.3325686,48.4332484
Alder Street Little Free Library,-123.366471,48.4475075
Alley Books,-123.3369897,48.4117429
Amah's Library,-123.3151122,48.4160079
Ambassador Ave,-123.3684826,48.4770323
Anchorage Books,-123.462113,48.5725766
Aquarius Books,-123.5589302,48.3589438
Ardmore Puzzle Swap,-123.4759518,48.6342204
Arthur Drive Library,-123.3932447,48.5994659
Ascot Books,-123.3467711,48.463235
Asquith LFL - Lower,-123.341112,48.4369999
Asquith LFL - Upper,-123.3409984,48.4393017
Athlone Books,-123.3427468,48.4676137
A to Z Little Free Library ,-123.3804261,48.4603437
Baily Cool Memorial Bookmobile,-123.5135016,48.4635135
Balmoral Books,-123.3515946,48.4283255
Barbara Books,-123.4020332,48.5657963
Barb's LFL,-123.3584784,48.4484244
Barrett Drive,-123.4200883,48.6145338
Basil Avenue Books,-123.3487952,48.4416645
Baxter Book Borrow,-123.3910763,48.4739816
Baynes Book Exchange on Baynes Road,-123.2667947,48.4537696
Beach Books on Estavan,-123.3043071,48.4362356
Beach House Little Library,-123.3670504,48.5215698
Beachcombers Library on Oliver Street,-123.3132291,48.4144691
Beaver Lake Park LFL,-123.4007482,48.5081438
Beechwood Ave,-123.3327985,48.4097013
Beechwood Books,-123.3329299,48.4120494
Beechwood Seed Exchange,-123.3327025,48.4130267
Bella Street,-123.3853644,48.4342442
Bella's Books on Redwood Ave,-123.319087,48.4566016
Bellevue Books,-123.3545882,48.4522033
Belmont Books - Blue,-123.3395032,48.4367518
Belmont Books,-123.3395463,48.4399106
Berlin's Book Box,-123.3416053,48.4454868
Betty's Book Boutique on Balsam Road,-123.4239078,48.6332994
Bevliotèque,-123.3388827,48.4473937
Bewdley Ave,-123.4117734,48.4238966
Black Cat Books - Off Clawthrope Park,-123.3403619,48.4475005
Black Door Books,-123.327333,48.4438183
Blackwood Take a Book - Leave a Book,-123.354012,48.4412813
